YYYYMM,PredictedInflation,ActualInflation
198605,4.3,1.49
198705,3.35,3.86
198805,4.36,3.89
198905,4.7,5.36
199005,5.7,4.36
199105,4.37,4.95
199205,4.33,3.02
199305,2.74,3.22
199405,4.09,2.29
199505,3.67,3.19
199605,4.3,2.89
199705,4.92,2.23
199805,3.83,1.69
199905,3.04,2.09
200005,3.0,3.19
200105,3.29,3.62
200205,3.84,1.18
200305,2.95,2.06
200405,2.56,3.05
200505,3.96,2.8
200605,3.73,4.17
200705,4.6,2.69
200805,4.23,4.18
200905,6.95,-1.28
201005,2.92,2.02
201105,3.87,3.57
201205,4.68,1.7
201305,3.52,1.36
201405,4.06,2.13
201505,4.25,-0.04
201605,3.2,1.02
201705,2.96,1.87
201805,2.97,2.8
201905,3.2,1.79
202005,3.35,0.12
202105,2.95,4.99
202205,5.59,8.58
202305,7.25,4.05
197906,8.2,10.89
198006,11.78,14.38
198106,8.58,9.55
198206,6.69,7.06
198306,5.74,2.58
198406,4.27,4.22
198506,4.59,3.76
198606,4.62,1.77
198706,3.72,3.65
198806,4.13,3.96
198906,5.03,5.17
199006,4.91,4.67
199106,4.59,4.7
199206,4.06,3.09
199306,3.64,3.0
199406,4.6,2.49
199506,3.63,3.04
199606,3.67,2.75
199706,3.97,2.3
199806,3.51,1.68
199906,3.11,1.96
200006,3.0,3.73
200106,3.46,3.25
200206,3.89,1.07
200306,2.84,2.11
200406,2.38,3.27
200506,3.86,2.53
200606,3.94,4.32
200706,4.33,2.69
200806,4.04,5.02
200906,6.45,-1.43
201006,3.59,1.05
201106,3.36,3.56
201206,4.32,1.66
201306,3.51,1.75
201406,3.68,2.07
201506,3.59,0.12
201606,3.37,1.0
201706,2.98,1.63
201806,3.1,2.87
201906,3.49,1.65
202006,3.42,0.65
202106,3.18,5.39
202206,5.93,9.06
197907,7.45,11.26
198007,11.47,13.13
198107,8.24,10.76
198207,6.23,6.44
198307,5.86,2.46
198407,4.42,4.2
198507,4.41,3.55
198607,3.7,1.58
198707,3.35,3.93
198807,3.93,4.13
198907,5.38,4.98
199007,4.79,4.82
199107,4.49,4.45
199207,3.69,3.16
199307,3.62,2.78
199407,3.97,2.77
199507,3.95,2.76
199607,3.74,2.95
199707,3.97,2.23
199807,3.16,1.68
199907,2.82,2.14
200007,2.83,3.66
200107,3.62,2.72
200207,2.88,1.46
200307,2.59,2.11
200407,2.17,2.99
200507,3.48,3.17
200607,3.56,4.15
200707,3.78,2.36
200807,4.21,5.6
200907,6.36,-2.1
201007,3.42,1.24
201107,3.16,3.63
201207,4.33,1.41
201307,3.83,1.96
201407,3.96,1.99
201507,3.98,0.17
201607,3.6,0.83
201707,3.1,1.73
201807,2.84,2.95
201907,3.52,1.81
202007,3.14,0.99
202107,3.37,5.37
202207,5.76,8.52
197908,8.74,11.82
198008,10.78,12.87
198108,8.08,10.8
198208,6.58,5.85
198308,6.02,2.56
198408,4.83,4.29
198508,4.49,3.35
198608,3.46,1.57
198708,3.97,4.28
198808,4.35,4.02
198908,5.38,4.71
199008,4.33,5.62
199108,5.62,3.8
199208,3.83,3.15
199308,3.71,2.77
199408,4.42,2.9
199508,4.41,2.62
199608,3.57,2.88
199708,4.03,2.23
199808,3.19,1.62
199908,2.65,2.26
200008,3.03,3.41
200108,3.48,2.72
200208,2.98,1.8
200308,2.49,2.16
200408,2.64,2.65
200508,2.96,3.64
200608,3.69,3.82
200708,4.6,1.97
200808,3.97,5.37
200908,5.0,-1.48
201008,2.73,1.15
201108,3.32,3.77
201208,4.33,1.69
201308,4.34,1.52
201408,4.11,1.7
201508,3.88,0.2
201608,3.39,1.06
201708,2.89,1.94
201808,3.01,2.7
201908,3.47,1.75
202008,3.32,1.31
202108,3.39,5.25
202208,6.08,8.26
197909,7.64,12.18
198009,10.01,12.6
198109,8.4,10.95
198209,7.11,5.04
198309,5.09,2.86
198409,4.79,4.27
198509,4.0,3.14
198609,4.03,1.75
198709,3.29,4.36
198809,4.2,4.17
198909,5.36,4.34
199009,4.56,6.16
199109,5.69,3.39
199209,3.46,2.99
199309,3.58,2.69
199409,4.25,2.96
199509,4.65,2.54
199609,3.76,3.0
199709,4.2,2.15
199809,3.44,1.49
199909,2.54,2.63
200009,3.24,3.45
200109,3.79,2.65
200209,3.13,1.51
200309,2.88,2.32
200409,3.33,2.54
200509,3.1,4.69
200609,5.31,2.06
200709,3.63,2.76
200809,3.83,4.94
200909,4.47,-1.29
201009,2.65,1.14
201109,2.97,3.87
201209,4.25,1.99
201309,4.28,1.18
201409,4.01,1.66
201509,3.75,-0.04
201609,3.08,1.46
201709,2.92,2.23
201809,3.12,2.28
201909,3.21,1.71
202009,3.31,1.37
202109,3.07,5.39
202209,5.94,8.2
197910,7.43,12.07
198010,8.85,12.77
198110,9.45,10.14
198210,7.07,5.14
198310,5.46,2.85
198410,5.44,4.26
198510,5.02,3.23
198610,4.65,1.47
198710,3.6,4.53
198810,4.13,4.25
198910,5.07,4.49
199010,4.51,6.29
199110,5.91,2.92
199210,4.08,3.2
199310,3.36,2.75
199410,3.75,2.61
199510,3.69,2.81
199610,3.5,2.99
199710,4.13,2.08
199810,3.15,1.49
199910,2.54,2.56
200010,3.4,3.45
200110,4.13,2.13
200210,1.43,2.03
200310,2.79,2.04
200410,3.02,3.19
200510,3.49,4.35
200610,5.54,1.31
200710,3.48,3.54
200810,3.58,3.66
200910,4.1,-0.18
201010,3.0,1.17
201110,3.28,3.53
201210,3.98,2.16
201310,4.17,0.96
201410,3.56,1.66
201510,3.36,0.17
201610,3.3,1.64
201710,2.98,2.04
201810,2.92,2.52
201910,3.53,1.76
202010,2.9,1.18
202110,2.82,6.22
202210,6.23,7.75
197911,8.12,12.61
198011,11.32,12.65
198111,8.11,9.59
198211,7.1,4.59
198311,4.89,3.27
198411,5.04,4.05
198511,4.87,3.51
198611,4.34,1.28
198711,3.73,4.53
198811,3.92,4.25
198911,5.3,4.66
199011,4.76,6.27
199111,5.3,2.99
199211,3.88,3.05
199311,3.85,2.68
199411,3.47,2.67
199511,4.4,2.61
199611,3.41,3.26
199711,3.8,1.83
199811,3.28,1.55
199911,2.53,2.62
200011,3.01,3.45
200111,3.73,1.9
200211,0.73,2.2
200311,2.47,1.77
200411,3.02,3.52
200511,3.26,3.46
200611,4.27,1.97
200711,3.33,4.31
200811,4.39,1.07
200911,2.72,1.84
201011,2.96,1.14
201111,3.42,3.39
201211,3.94,1.76
201311,3.78,1.24
201411,3.66,1.32
201511,2.97,0.5
201611,3.2,1.69
201711,2.95,2.2
201811,2.9,2.18
201911,3.21,2.05
202011,2.97,1.17
202111,2.96,6.81
202211,6.75,7.11
197912,8.24,13.29
198012,10.59,12.52
198112,9.92,8.92
198212,5.59,3.83
198312,5.13,3.79
198412,4.79,3.95
198512,4.66,3.8
198612,5.17,1.1
198712,4.0,4.43
198812,3.5,4.42
198912,4.95,4.65
199012,4.27,6.11
199112,4.71,3.06
199212,3.17,2.9
199312,2.99,2.75
199412,3.34,2.67
199512,3.71,2.54
199612,3.11,3.32
199712,3.74,1.7
199812,3.22,1.61
199912,2.73,2.68
200012,3.45,3.39
200112,3.28,1.55
200212,1.75,2.38
200312,2.41,1.88
200412,2.73,3.26
200512,3.3,3.42
200612,4.01,2.54
200712,3.4,4.08
200812,4.34,0.09
200912,1.15,2.72
201012,2.89,1.5
201112,3.77,2.96
201212,3.59,1.74
201312,3.83,1.5
201412,3.71,0.76
201512,2.95,0.73
201612,2.84,2.07
201712,2.73,2.11
201812,3.01,1.91
201912,3.17,2.29
202012,2.7,1.36
202112,3.1,7.04
202212,6.26,6.45
