year,month,YYYYMM,ExpectedInflation
1991,5,199105,0.04953560371517033
1992,5,199205,0.03023598820058993
1993,5,199305,0.03221188260558339
1994,5,199405,0.02288488210818316
1995,5,199505,0.03186440677966094
1996,5,199605,0.02890932982917218
1997,5,199705,0.02234993614303959
1998,5,199805,0.01686445971267968
1999,5,199905,0.020884520884520745
2000,5,200005,0.031889290012033764
2001,5,200105,0.036151603498542205
2002,5,200205,0.01181767023072607
2003,5,200305,0.020578420467185696
2004,5,200405,0.030517711171662094
2005,5,200505,0.028027498677948237
2006,5,200605,0.04166666666666664
2007,5,200705,0.026908641975308702
2008,5,200805,0.04175543041803515
2009,5,200905,-0.012814357989586075
2010,5,201005,0.02020986084093971
2011,5,201105,0.03568645784634565
2012,5,201205,0.017042537749376002
2013,5,201305,0.013619650588516831
2014,5,201405,0.021271115499366857
2015,5,201505,-0.0003993274485077716
2016,5,201605,0.010193225541935648
2017,5,201705,0.0187487772084136
2018,5,201805,0.028010117148075615
2019,5,201905,0.017902284687663923
2020,5,202005,0.001179263702107137
2021,5,202105,0.04992706537594479
2022,5,202205,0.08581511543676516
2023,5,202305,0.0404760927279197
1977,6,197706,
1978,6,197806,0.07413509060955518
1979,6,197906,0.1088957055214723
1980,6,198006,0.14384508990318126
1981,6,198106,0.09552599758162021
1982,6,198206,0.07064017660044157
1983,6,198306,0.02577319587628866
1984,6,198406,0.042211055276381935
1985,6,198506,0.03760848601735768
1986,6,198606,0.017657992565055815
1987,6,198706,0.0365296803652968
1988,6,198806,0.039647577092511016
1989,6,198906,0.05169491525423724
1990,6,199006,0.0467365028203063
1991,6,199106,0.0469591993841416
1992,6,199206,0.03088235294117639
1993,6,199306,0.02995720399429399
1994,6,199406,0.024930747922437633
1995,6,199506,0.030405405405405407
1996,6,199606,0.027540983606557302
1997,6,199706,0.022973835354180107
1998,6,199806,0.01684341859014341
1999,6,199906,0.01963190184049073
2000,6,200006,0.037304452466907445
2001,6,200106,0.032482598607888595
2002,6,200206,0.010674157303370818
2003,6,200306,0.021122846025569665
2004,6,200406,0.0326619488296135
2005,6,200506,0.025303110173958945
2006,6,200606,0.04318766066838049
2007,6,200706,0.026870379497289296
2008,6,200806,0.05021790047611731
2009,6,200906,-0.014267760436898685
2010,6,201006,0.010533489728456608
2011,6,201106,0.035588282522423346
2012,6,201206,0.016639937622385057
2013,6,201306,0.01754416545376891
2014,6,201406,0.020723413731670543
2015,6,201506,0.0012377120368545162
2016,6,201606,0.009973264945230832
2017,6,201706,0.016334879552564588
2018,6,201806,0.028715478353166873
2019,6,201906,0.016484846560762444
2020,6,202006,0.006457330475554879
2021,6,202106,0.05391451413321334
2022,6,202206,0.09059757964784151
1977,7,197707,
1978,7,197807,0.0770491803278689
1979,7,197907,0.11263318112633168
1980,7,198007,0.13132694938440506
1981,7,198107,0.1076178960096734
1982,7,198207,0.06441048034934505
1983,7,198307,0.024615384615384674
1984,7,198407,0.04204204204204193
1985,7,198507,0.03554274735830935
1986,7,198607,0.015769944341372938
1987,7,198707,0.03926940639269404
1988,7,198807,0.041300527240773315
1989,7,198907,0.049789029535865025
1990,7,199007,0.04823151125401929
1991,7,199107,0.04447852760736183
1992,7,199207,0.031571218795888485
1993,7,199307,0.027758007117437762
1994,7,199407,0.027700831024930747
1995,7,199507,0.027628032345013438
1996,7,199607,0.029508196721311476
1997,7,199707,0.022292993630573247
1998,7,199807,0.016822429906541984
1999,7,199907,0.02144607843137255
2000,7,200007,0.0365926814637074
2001,7,200107,0.027199074074074008
2002,7,200207,0.01464788732394363
2003,7,200307,0.021099389228206616
2004,7,200407,0.029907558455682434
2005,7,200507,0.03167898627243928
2006,7,200607,0.041453428863868956
2007,7,200707,0.023582309582309616
2008,7,200807,0.05600122900253958
2009,7,200907,-0.02097161353676056
2010,7,201007,0.01235192778301469
2011,7,201107,0.03628715982221081
2012,7,201207,0.014084507042253594
2013,7,201307,0.019606816118443983
2014,7,201407,0.019923286357643094
2015,7,201507,0.0016956977964323037
2016,7,201607,0.008271388704987092
2017,7,201707,0.017279784563724986
2018,7,201807,0.02949515086647112
2019,7,201907,0.01811464806393509
2020,7,202007,0.009860818253037064
2021,7,202107,0.05365475239385408
2022,7,202207,0.08524814745625515
1977,8,197708,
1978,8,197808,0.07843137254901955
1979,8,197908,0.11818181818181814
1980,8,198008,0.12872628726287264
1981,8,198108,0.10804321728691477
1982,8,198208,0.05850487540628392
1983,8,198308,0.025588536335721595
1984,8,198408,0.042914171656686595
1985,8,198508,0.03349282296650718
1986,8,198608,0.015740740740740767
1987,8,198708,0.042844120328167756
1988,8,198808,0.04020979020979016
1989,8,198908,0.047058823529411715
1990,8,199008,0.05617977528089888
1991,8,199108,0.037993920972644375
1992,8,199208,0.03147877013177168
1993,8,199308,0.027679205110007137
1994,8,199408,0.029005524861878372
1995,8,199508,0.02617449664429534
1996,8,199608,0.028776978417266223
1997,8,199708,0.02225047679593134
1998,8,199808,0.016169154228855686
1999,8,199908,0.022643818849449136
2000,8,200008,0.034111310592459705
2001,8,200108,0.027199074074074008
2002,8,200208,0.018028169014084442
2003,8,200308,0.021582733812949673
2004,8,200408,0.026543878656554745
2005,8,200508,0.03641160949868077
2006,8,200608,0.03818737270875763
2007,8,200708,0.019700833742030386
2008,8,200808,0.05371855115262346
2009,8,200908,-0.014843486119606042
2010,8,201008,0.011481045618391953
2011,8,201108,0.0377120817911978
2012,8,201208,0.01692378997550157
2013,8,201308,0.015183675595431958
2014,8,201408,0.016996113341628268
2015,8,201508,0.0019507929300573408
2016,8,201608,0.010628745027610345
2017,8,201708,0.01938974212058184
2018,8,201808,0.026991801041874482
2019,8,201908,0.017497798894291428
2020,8,202008,0.013096453823307064
2021,8,202108,0.05251271554874999
2022,8,202208,0.08262692503116233
1977,9,197709,
1978,9,197809,0.08306188925081436
1979,9,197909,0.1218045112781954
1980,9,198009,0.126005361930295
1981,9,198109,0.10952380952380955
1982,9,198209,0.05042918454935625
1983,9,198309,0.028600612870275762
1984,9,198409,0.042701092353525295
1985,9,198509,0.0314285714285714
1986,9,198609,0.01754385964912286
1987,9,198709,0.04355716878402901
1988,9,198809,0.041739130434782584
1989,9,198909,0.04340567612687816
1990,9,199009,0.06159999999999991
1991,9,199109,0.03391107761868877
1992,9,199209,0.02988338192419842
1993,9,199309,0.02689313517338983
1994,9,199409,0.029634734665747838
1995,9,199509,0.025435073627844598
1996,9,199609,0.030026109660574563
1997,9,199709,0.02154626108998718
1998,9,199809,0.014888337468982667
1999,9,199909,0.02628361858190716
2000,9,200009,0.03454437164979144
2001,9,200109,0.026482440990213144
2002,9,200209,0.015143017386427305
2003,9,200309,0.0232044198895027
2004,9,200409,0.0253779697624191
2005,9,200509,0.04686677198525543
2006,9,200609,0.02062374245472834
2007,9,200709,0.027550517496303613
2008,9,200809,0.04936927430572199
2009,9,200909,-0.012862059666427433
2010,9,201009,0.011436826581592724
2011,9,201109,0.038683568410402984
2012,9,201209,0.01991282080664995
2013,9,201309,0.011849252615521527
2014,9,201409,0.016579186757150383
2015,9,201509,-0.00036129747805963393
2016,9,201609,0.014637836474815626
2017,9,201709,0.02232963865003227
2018,9,201809,0.0227697219419899
2019,9,201909,0.017113045131695266
2020,9,202009,0.013713248610564607
2021,9,202109,0.05390348855079157
2022,9,202209,0.08201669643833616
1977,10,197710,
1978,10,197810,0.08928571428571416
1979,10,197910,0.12071535022354708
1980,10,198010,0.127659574468085
1981,10,198110,0.10141509433962274
1982,10,198210,0.051391862955032085
1983,10,198310,0.028513238289205673
1984,10,198410,0.04257425742574254
1985,10,198510,0.03228869895536568
1986,10,198610,0.014719411223551006
1987,10,198710,0.04533091568449683
1988,10,198810,0.04249783174327845
1989,10,198910,0.04492512479201324
1990,10,199010,0.06289808917197456
1991,10,199110,0.02921348314606746
1992,10,199210,0.032023289665211105
1993,10,199310,0.027503526093088693
1994,10,199410,0.02608098833218951
1995,10,199510,0.028093645484949758
1996,10,199610,0.02992843201041004
1997,10,199710,0.020846493998736466
1998,10,199810,0.014851485148514887
1999,10,199910,0.025609756097560905
2000,10,200010,0.034482758620689724
2001,10,200110,0.021264367816091888
2002,10,200210,0.020258863252673173
2003,10,200310,0.02040816326530606
2004,10,200410,0.03189189189189192
2005,10,200510,0.043478260869565126
2006,10,200610,0.013052208835341481
2007,10,200710,0.035361744301288384
2008,10,200810,0.03655186277137497
2009,10,200910,-0.0018284827748612014
2010,10,201010,0.011721876055269618
2011,10,201110,0.035251999213573984
2012,10,201210,0.021623435988711363
2013,10,201310,0.009636127046434049
2014,10,201410,0.016643402156320385
2015,10,201510,0.0017057443573555535
2016,10,201610,0.016359875209176075
2017,10,201710,0.02041128701976179
2018,10,201810,0.025224699286070386
2019,10,201910,0.017640429444213825
2020,10,202010,0.011820661677274849
2021,10,202110,0.06221868903328887
2022,10,202210,0.07745427330804913
1977,11,197711,
1978,11,197811,0.08885298869143791
1979,11,197911,0.1261127596439169
1980,11,198011,0.12648221343873509
1981,11,198111,0.09590643274853805
1982,11,198211,0.045891141942369235
1983,11,198311,0.03265306122448983
1984,11,198411,0.0405138339920948
1985,11,198511,0.035137701804368496
1986,11,198611,0.01284403669724776
1987,11,198711,0.04528985507246377
1988,11,198811,0.042461005199306685
1989,11,198911,0.046550290939318444
1990,11,199011,0.06274821286735509
1991,11,199111,0.029895366218236172
1992,11,199211,0.03047895500725681
1993,11,199311,0.02676056338028177
1994,11,199411,0.02674897119341548
1995,11,199511,0.026052104208416874
1996,11,199611,0.032552083333333336
1997,11,199711,0.018284993694829797
1998,11,199811,0.015479876160990712
1999,11,199911,0.02621951219512202
2000,11,200011,0.0344622697563873
2001,11,200111,0.01895462377943717
2002,11,200211,0.021984216459977484
2003,11,200311,0.017650303364589014
2004,11,200411,0.03523035230352303
2005,11,200511,0.0345549738219895
2006,11,200611,0.019736842105263188
2007,11,200711,0.04306203473945406
2008,11,200811,0.010695746918073904
2009,11,200911,0.01838295869130282
2010,11,201011,0.01143160911570279
2011,11,201111,0.03394377590800854
2012,11,201211,0.01764133846085848
2013,11,201311,0.012370722045338978
2014,11,201411,0.013223551823708954
2015,11,201511,0.005017975786678871
2016,11,201611,0.0169253716250379
2017,11,201711,0.022025829386831744
2018,11,201811,0.021766010321523983
2019,11,201911,0.020512779818916256
2020,11,202011,0.011745357842679691
2021,11,202111,0.06809002839806476
2022,11,202211,0.07110322794191731
1977,12,197712,
1978,12,197812,0.09017713365539455
1979,12,197912,0.1329394387001477
1980,12,198012,0.12516297262059967
1981,12,198112,0.08922363847045195
1982,12,198212,0.03829787234042547
1983,12,198312,0.0379098360655738
1984,12,198412,0.039486673247778874
1985,12,198512,0.03798670465337132
1986,12,198612,0.010978956999085113
1987,12,198712,0.04434389140271498
1988,12,198812,0.044194107452339634
1989,12,198912,0.046473029045643106
1990,12,199012,0.06106264869151481
1991,12,199112,0.030642750373692032
1992,12,199212,0.0290065264684554
1993,12,199312,0.02748414376321357
1994,12,199412,0.02674897119341548
1995,12,199512,0.025384101536406224
1996,12,199612,0.033224755700325695
1997,12,199712,0.017023959646910575
1998,12,199812,0.016119032858028483
1999,12,199912,0.02684563758389265
2000,12,200012,0.03386809269162203
2001,12,200112,0.015517241379310279
2002,12,200212,0.023769100169779386
2003,12,200312,0.01879491431730241
2004,12,200412,0.032555615843733045
2005,12,200512,0.03415659485023647
2006,12,200612,0.02540650406504065
2007,12,200712,0.04081268582755198
2008,12,200812,0.0009141290064560708
2009,12,200912,0.02721331126205835
2010,12,201012,0.014957235273143148
2011,12,201112,0.02962418844871085
2012,12,201212,0.017410223687475638
2013,12,201312,0.015017356196183848
2014,12,201412,0.0075649326965573985
2015,12,201512,0.007295197860415966
2016,12,201612,0.020746221329669093
2017,12,201712,0.02109082474568414
2018,12,201812,0.019101588486313718
2019,12,201912,0.02285129740121714
2020,12,202012,0.013620054947193101
2021,12,202112,0.07036402865545134
2022,12,202212,0.06454401331410824
