Year,PredictedInflation,ActualInflation
2005,4.6,3.64
2006,3.97,3.82
2007,5.0,1.97
2008,2.73,5.37
2009,3.32,-1.48
2010,4.33,1.15
2011,4.34,3.77
2012,4.11,1.69
2013,3.88,1.52
2014,3.39,1.7
2015,2.89,0.2
2016,3.01,1.06
2017,3.47,1.94
2018,3.32,2.7
2019,3.39,1.75
2020,6.08,1.31
2021,6.02,5.25
2022,7.64,8.26
1979,8.4,12.18
1980,7.11,12.6
1981,5.09,10.95
1982,4.79,5.04
1983,4.0,2.86
1984,4.03,4.27
1985,3.29,3.14
1986,4.2,1.75
1987,5.36,4.36
1988,4.56,4.17
1989,5.69,4.34
1990,3.46,6.16
1991,3.58,3.39
1992,4.25,2.99
1993,4.65,2.69
1994,3.76,2.96
1995,4.2,2.54
1996,3.44,3.0
1997,2.54,2.15
1998,3.24,1.49
1999,3.79,2.63
2000,3.13,3.45
2001,2.88,2.65
2002,3.33,1.51
2003,3.1,2.32
2004,5.31,2.54
2005,3.63,4.69
2006,3.83,2.06
2007,4.47,2.76
2008,2.65,4.94
2009,2.97,-1.29
2010,4.25,1.14
2011,4.28,3.87
2012,4.01,1.99
2013,3.75,1.18
2014,3.08,1.66
2015,2.92,-0.04
2016,3.12,1.46
2017,3.21,2.23
2018,3.31,2.28
2019,3.07,1.71
2020,5.94,1.37
2021,6.03,5.39
2022,7.43,8.2
1979,9.45,12.07
1980,7.07,12.77
1981,5.46,10.14
1982,5.44,5.14
1983,5.02,2.85
1984,4.65,4.26
1985,3.6,3.23
1986,4.13,1.47
1987,5.07,4.53
1988,4.51,4.25
1989,5.91,4.49
1990,4.08,6.29
1991,3.36,2.92
1992,3.75,3.2
1993,3.69,2.75
1994,3.5,2.61
1995,4.13,2.81
1996,3.15,2.99
1997,2.54,2.08
1998,3.4,1.49
1999,4.13,2.56
2000,1.43,3.45
2001,2.79,2.13
2002,3.02,2.03
2003,3.49,2.04
2004,5.54,3.19
2005,3.48,4.35
2006,3.58,1.31
2007,4.1,3.54
2008,3.0,3.66
2009,3.28,-0.18
2010,3.98,1.17
2011,4.17,3.53
2012,3.56,2.16
2013,3.36,0.96
2014,3.3,1.66
2015,2.98,0.17
2016,2.92,1.64
2017,3.53,2.04
2018,2.9,2.52
2019,2.82,1.76
2020,6.23,1.18
2021,6.99,6.22
2022,8.12,7.75
1979,8.11,12.61
1980,7.1,12.65
1981,4.89,9.59
1982,5.04,4.59
1983,4.87,3.27
1984,4.34,4.05
1985,3.73,3.51
1986,3.92,1.28
1987,5.3,4.53
1988,4.76,4.25
1989,5.3,4.66
1990,3.88,6.27
1991,3.85,2.99
1992,3.47,3.05
1993,4.4,2.68
1994,3.41,2.67
1995,3.8,2.61
1996,3.28,3.26
1997,2.53,1.83
1998,3.01,1.55
1999,3.73,2.62
2000,0.73,3.45
2001,2.47,1.9
2002,3.02,2.2
2003,3.26,1.77
2004,4.27,3.52
2005,3.33,3.46
2006,4.39,1.97
2007,2.72,4.31
2008,2.96,1.07
2009,3.42,1.84
2010,3.94,1.14
2011,3.78,3.39
2012,3.66,1.76
2013,2.97,1.24
2014,3.2,1.32
2015,2.95,0.5
2016,2.9,1.69
2017,3.21,2.2
2018,2.97,2.18
2019,2.96,2.05
2020,6.75,1.17
2021,6.85,6.81
2022,8.24,7.11
1979,9.92,13.29
1980,5.59,12.52
1981,5.13,8.92
1982,4.79,3.83
1983,4.66,3.79
1984,5.17,3.95
1985,4.0,3.8
1986,3.5,1.1
1987,4.95,4.43
1988,4.27,4.42
1989,4.71,4.65
1990,3.17,6.11
1991,2.99,3.06
1992,3.34,2.9
1993,3.71,2.75
1994,3.11,2.67
1995,3.74,2.54
1996,3.22,3.32
1997,2.73,1.7
1998,3.45,1.61
1999,3.28,2.68
2000,1.75,3.39
2001,2.41,1.55
2002,2.73,2.38
2003,3.3,1.88
2004,4.01,3.26
2005,3.4,3.42
2006,4.34,2.54
2007,1.15,4.08
2008,2.89,0.09
2009,3.77,2.72
2010,3.59,1.5
2011,3.83,2.96
2012,3.71,1.74
2013,2.95,1.5
2014,2.84,0.76
2015,2.73,0.73
2016,3.01,2.07
2017,3.17,2.11
2018,2.7,1.91
2019,3.1,2.29
2020,6.26,1.36
2021,6.41,7.04
2022,,6.45
